"filename", "language", "TypeScript", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/admin/admin.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/admin/admin.component.html", "HTML", 0, 67, 0, 0, 3, 7, 77
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/admin/admin.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/admin/admin.component.ts", "TypeScript", 57, 0, 0, 0, 0, 9, 66
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/app-routing.module.ts", "TypeScript", 25, 0, 0, 0, 12, 7, 44
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/app.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/app.component.html", "HTML", 0, 3, 0, 0, 0, 2, 5
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 0, 5, 36
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/app.component.ts", "TypeScript", 13, 0, 0, 0, 6, 7, 26
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/app.module.ts", "TypeScript", 77, 0, 0, 0, 0, 5, 82
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/block.ts", "TypeScript", 49, 0, 0, 0, 0, 5, 54
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/dialogs/confirm/confirm.component.css", "CSS", 0, 0, 5, 0, 0, 0, 5
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/dialogs/confirm/confirm.component.html", "HTML", 0, 22, 0, 0, 0, 5, 27
"/home/kareem/coding/FYP/P2P-Blockchain-Frontend/src/app/dialogs/confirm/confirm.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
